abandoned,abandoning
curved,curving
cushioned,cushioning
cut,cutting
cycled,cycling
dabbed,dabbing
dabbled,dabbling
dallied,dallying
damaged,damaging
dammed,damming
damned,damning
damped,damping
dampened,dampening
danced,dancing
dandled,dandling
dangled,dangling
dared,daring
darkened,darkening
darned,darning
darted,darting
dashed,dashing
dated,dating
daubed,daubing
daunted,daunting
dawdled,dawdling
dawned,dawning
daydreamed,daydreaming
dazed,dazing
dazzled,dazzling
de-escalated,de-escalating
de-iced,de-icing
deadened,deadening
deafened,deafening
dealt,dealing
debarked,debarking
debarred,debarring
debased,debasing
debated,debating
debauched,debauching
debilitated,debilitating
debited,debiting
debriefed,debriefing
debugged,debugging
debunked,debunking
decamped,decamping
decanted,decanting
decapitated,decapitating
decarbonized,decarbonizing
decayed,decaying
deceived,deceiving
decelerated,decelerating
decentralized,decentralizing
decertified,decertifying
decided,deciding
decimalized,decimalizing
decimated,decimating
deciphered,deciphering
decked,decking
declaimed,declaiming
declared,declaring
declassified,declassifying
declined,declining
decoded,decoding
decolonized,decolonizing
decomposed,decomposing
decompressed,decompressing
decontaminated,decontaminating
decorated,decorating
decreased,decreasing
decried,decrying
dedicated,dedicating
deduced,deducing
deducted,deducting
deemed,deeming
deep-frozen,deep-freezing
deepened,deepening
defaced,defacing
defamed,defaming
defaulted,defaulting
defeated,defeating
defecated,defecating
defected,defecting
defended,defending
deferred,deferring
defied,defying
defiled,defiling
defined,defining
deflated,deflating
deflected,deflecting
deflowered,deflowering
defoliated,defoliating
deforested,deforesting
deformed,deforming
defrauded,defrauding
defrayed,defraying
defrocked,defrocking
defrosted,defrosting
defused,defusing
degenerated,degenerating
degraded,degrading
dehumanized,dehumanizing
dehydrated,dehydrating
deified,deifying
deigned,deigning
delayed,delaying
delegated,delegating
deleted,deleting
deliberated,deliberating
delighted,delighting
delimited,delimiting
delineated,delineating
delivered,delivering
deluded,deluding
delved,delving
demagnetized,demagnetizing
demanded,demanding
demarcated,demarcating
demeaned,demeaning
demilitarized,demilitarizing
demisted,demisting
demobilized,demobilizing
democratized,democratizing
demolished,demolishing
demonstrated,demonstrating
demoralized,demoralizing
demoted,demoting
demurred,demurring
denationalized,denationalizing
denied,denying
denigrated,denigrating
denominated,denominating
denoted,denoting
denounced,denouncing
dented,denting
denuded,denuding
deodorized,deodorizing
departed,departing
depended,depending
depicted,depicting
deplaned,deplaning
depleted,depleting
deplored,deploring
deployed,deploying
depopulated,depopulating
deported,deporting
deposed,deposing
deposited,depositing
deprecated,deprecating
depreciated,depreciating
depressed,depressing
deprived,depriving
deprogrammed,deprogramming
deputized,deputizing
derailed,derailing
deranged,deranging
derided,deriding
derived,deriving
derogated,derogating
desalinated,desalinating
desalinized,desalinizing
descended,descending
described,describing
desecrated,desecrating
desegregated,desegregating
desensitized,desensitizing
deserted,deserting
deserved,deserving
desiccated,desiccating
designated,designating
designed,designing
desired,desiring
desisted,desisting
despaired,despairing
despatched,despatching
despised,despising
despoiled,despoiling
destined,destining
destroyed,destroying
detached,detaching
detained,detaining
detected,detecting
deteriorated,deteriorating
determined,determining
deterred,deterring
detested,detesting
dethroned,dethroning
detonated,detonating
detracted,detracting
devaluated,devaluating
devalued,devaluing
devastated,devastating
developed,developing
deviated,deviating
devised,devising
devolved,devolving
devoted,devoting
devoured,devouring
diagnosed,diagnosing
dialed,dialing
diced,dicing
dictated,dictating
diddled,diddling
died,dying
dieted,dieting
differed,differing
differentiated,differentiating
diffracted,diffracting
diffused,diffusing
digested,digesting
dignified,dignifying
digressed,digressing
dilated,dilating
dilly-dallied,dilly-dallying
diluted,diluting
diminished,diminishing
dimmed,dimming
dined,dining
dinned,dinning
dipped,dipping
directed,directing
disabled,disabling
disabused,disabusing
disagreed,disagreing
disallowed,disallowing
disappeared,disappearing
disappointed,disappointing
disapproved,disapproving
disarmed,disarming
disarranged,disarranging
disassociated,disassociating
disavowed,disavowing
disbanded,disbanding
disbursed,disbursing
discarded,discarding
discerned,discerning
discharged,discharging
disciplined,disciplining
disclaimed,disclaiming
disclosed,disclosing
discomfited,discomfiting
disconcerted,disconcerting
disconnected,disconnecting
discontented,discontenting
discontinued,discontinuing
discounted,discounting
discouraged,discouraging
discoursed,discoursing
discovered,discovering
discredited,discrediting
discriminated,discriminating
discussed,discussing
disdained,disdaining
disembarked,disembarking
disembarrassed,disembarrassing
disembowelled,disembowelling
disenchanted,disenchanting
disenfranchised,disenfranchising
disengaged,disengaging
disentangled,disentangling
disestablished,disestablishing
disfavoured,disfavouring
disfigured,disfiguring
