abandoned,abandoning
quietened,quietening
quilted,quilting
quintupled,quintupling
quipped,quipping
quitted,quitting
quivered,quivering
quoted,quoting
raced,racing
racked,racking
racketed,racketing
radiated,radiating
radioed,radioing
raffled,raffling
rafted,rafting
raged,raging
raided,raiding
railed,railing
railroaded,railroading
rained,raining
raised,raising
raked,raking
rallied,rallying
rambled,rambling
ramified,ramifying
rammed,ramming
rampaged,rampaging
ramped,ramping
ranged,ranging
ranked,ranking
rankled,rankling
ransacked,ransacking
ransomed,ransoming
ranted,ranting
raped,raping
rapped,rapping
rasped,rasping
rated,rating
ratified,ratifying
rationalized,rationalizing
rationed,rationing
ratted,ratting
rattled,rattling
ravaged,ravaging
raved,raving
ravelled,ravelling
ravished,ravishing
razed,razing
re-addressed,re-addressing
re-echoed,re-echoing
re-educated,re-educating
re-established,re-establishing
re-formed,re-forming
re-opened,re-opening
reached,reaching
reacted,reacting
read,reading
readjusted,readjusting
readmitted,readmitting
reaffirmed,reaffirming
realized,realizing
reaped,reaping
reappeared,reappearing
reared,rearing
rearmed,rearming
rearranged,rearranging
reasoned,reasoning
reassembled,reassembling
reassessed,reassessing
reassured,reassuring
reauthorized,reauthorizing
rebelled,rebelling
rebounded,rebounding
rebuffed,rebuffing
rebuilt,rebuilding
rebuked,rebuking
rebutted,rebutting
recalled,recalling
recanted,recanting
recapitulated,recapitulating
recapped,recapping
recaptured,recapturing
recast,recasting
receded,receding
received,receiving
recessed,recessing
reciprocated,reciprocating
recited,reciting
reckoned,reckoning
reclaimed,reclaiming
reclined,reclining
recognized,recognizing
recoiled,recoiling
recollected,recollecting
recommended,recommending
recommitted,recommitting
recompensed,recompensing
reconciled,reconciling
reconditioned,reconditioning
reconnoitred,reconnoitring
reconsecrated,reconsecrating
reconsidered,reconsidering
reconstructed,reconstructing
reconvened,reconvening
reconverted,reconverting
reconverted,recovering
reconvicted,reconvicting
recorded,recording
recounted,recounting
recouped,recouping
recovered,recruiting
recreated,recreating
recriminated,recriminating
recruited,reddening
rectified,rectifying
recuperated,recuperating
recurred,recurring
recycled,recycling
reddened,redoubling
redecorated,redecorating
redeemed,redeeming
redefined,redefining
redeployed,redeploying
redesigned,redesigning
redeveloped,redeveloping
rediscovered,rediscovering
redistributed,redistributing
redone,redoing
redoubled,referring
redounded,redounding
redressed,redressing
reduplicated,reduplicating
reelected,reelecting
reeled,reeling
reestablished,reestablishing
refashioned,refashioning
referred,referring
refilled,refilling
refinanced,refinancing
refined,refining
reflected,reflecting
reformed,refueling
reformulated,reformulating
refracted,refracting
refrained,refraining
refreshed,refreshing
refrigerated,refrigerating
refuelled,refuelling
refunded,refunding
refurbished,refurbishing
refurnished,refurnishing
refused,refusing
refuted,refuting
regained,regaining
regaled,regaling
regarded,regarding
regenerated,regenerating
regimented,regimenting
registered,registering
regressed,regressing
regretted,regretting
regrouped,regrouping
regularized,regularizing
regulated,regulating
regurgitated,regurgitating
rehabilitated,rehabilitating
rehashed,rehashing
rehearsed,rehearsing
rehoused,rehousing
reigned,reigning
reimbursed,reimbursing
reined,reining
reinforced,reinforcing
reinstated,reinstating
reinsured,reinsuring
reintegrated,reintegrating
reinterpreted,reinterpreting
reinvented,reinventing
reinvested,reinvesting
reissued,reissuing
reiterated,reiterating
rejected,rejecting
rejoiced,rejoicing
rejoined,rejoining
rejuvenated,rejuvenating
rekindled,rekindling
relapsed,relapsing
related,relating
relaxed,relaxing
relayed,relaying
released,releasing
relegated,relegating
relented,relenting
relied,relying
relieved,relieving
relinquished,relinquishing
relished,relishing
relisted,relisting
relived,reliving
relocated,relocating
remained,remaining
remanded,remanding
remarked,remarking
remarried,remarrying
remedied,remedying
remembered,remembering
remilitarized,remilitarizing
reminded,reminding
reminisced,reminiscing
remitted,remitting
remodelled,remodelling
remonstrated,remonstrating
remoulded,remoulding
remounted,remounting
removed,removing
remunerated,remunerating
renamed,renaming
rendered,rendering
rendezvoused,rendezvousing
reneged,reneging
renegotiated,renegotiating
renewed,renewing
renounced,renouncing
renovated,renovating
rented,renting
reopened,reopening
reorganized,reorganizing
reorientated,reorientating
reoriented,reorienting
repackaged,repackaging
repaid,repaying
repainted,repainting
repaired,repairing
repatriated,repatriating
repealed,repealing
repeated,repeating
repelled,repelling
repented,repenting
replaced,replacing
replanted,replanting
replayed,replaying
replenished,replenishing
replicated,replicating
replied,replying
reported,reporting
reprehended,reprehending
represented,representing
repressed,repressing
reprieved,reprieving
reprimanded,reprimanding
reprinted,reprinting
reproached,reproaching
reproduced,reproducing
reproofed,reproofing
reproved,reproving
repudiated,repudiating
repulsed,repulsing
repurchased,repurchasing
reputed,reputing
requested,requesting
required,requiring
requisitioned,requisitioning
reread,rereading
rerouted,rerouting
rescheduled,rescheduling
rescinded,rescinding
rescued,rescuing
researched,researching
reseated,reseating
resembled,resembling
resented,resenting
reserved,reserving
reset,resetting
resettled,resettling
reshaped,reshaping
reshuffled,reshuffling
resided,residing
resigned,resigning
resisted,resisting
resold,reselling
resoled,resoling
resolved,resolving
resonated,resonating
resorted,resorting
resounded,resounding
respected,respecting
responded,responding
restarted,restarting
restated,restating
rested,resting
restocked,restocking
restored,restoring
restrained,restraining
restricted,restricting
restructured,restructuring
resulted,resulting
resumed,resuming
resurfaced,resurfacing
resurrected,resurrecting
resuscitated,resuscitating
retailed,retailing
retained,retaining
retaken,retaking
retaliated,retaliating
retarded,retarding
retched,retching
retired,retiring
retold,retelling
retooled,retooling
retorted,retorting
retouched,retouching
retraced,retracing
retracted,retracting
retransmitted,retransmitting
retreated,retreating
retrenched,retrenching
retrieved,retrieving
retrograded,retrograding
retrogressed,retrogressing
returned,returning
reunited,reuniting
revalued,revaluing
revamped,revamping
revealed,revealing
revelled,revelling
reverberated,reverberating
revered,revering
reversed,reversing
reverted,reverting
reviewed,reviewing
reviled,reviling
revised,revising
revisited,revisiting
revitalized,revitalizing
revived,reviving
revoked,revoking
revolted,revolting
revolutionized,revolutionizing
revolved,revolving
revved,reving
rewarded,rewarding
rewired,rewiring
reworded,rewording
rewritten,rewriting
rhapsodized,rhapsodizing
rhymed,rhyming
ribbed,ribbing
ricocheted,ricocheting
ridden,riding
riddled,riddling
ridiculed,ridiculing
rifled,rifling
rigged,rigging
righted,righting
riled,riling
rimmed,rimming
ringed,ringing
rinsed,rinsing
rioted,rioting
ripened,ripening
riposted,riposting
ripped,ripping
rippled,rippling
risen,rising
risked,risking
rivaled,rivaling
rivalled,rivalling
riveted,riveting
roamed,roaming
roared,roaring
roasted,roasting
robbed,robbing
rocked,rocking
rocketed,rocketing
rolled,rolling
romanced,romancing
romanticized,romanticizing
romped,romping
roomed,rooming
roosted,roosting
rooted,rooting
roped,roping
rotated,rotating
rotted,rotting
rough-housed,rough-housing
roughed,roughing
roughened,roughening
rounded,rounding
roused,rousing
routed,routing
roved,roving
rowed,rowing
rubbed,rubbing
rubber-stamped,rubber-stamping
rubberized,rubberizing
rued,ruing
ruffled,ruffling
ruined,ruining
ruled,ruling
rumbled,rumbling
ruminated,ruminating
rummaged,rummaging
rumpled,rumpling
run,running
rung,ringing
ruptured,rupturing
rushed,rushing
rusted,rusting
rusticated,rusticating
rustled,rustling
sabotaged,sabotaging
sacked,sacking
sacrificed,sacrificing
saddened,saddening
saddled,saddling
safeguarded,safeguarding
sagged,sagging
sailed,sailing
salivated,salivating
sallied,sallying
salted,salting
saluted,saluting
salvaged,salvaging
sampled,sampling
sanctified,sanctifying
sanctioned,sanctioning
sandblasted,sandblasting
sanded,sanding
sandpapered,sandpapering
sandwiched,sandwiching
sapped,sapping
sat,sitting
satiated,satiating
satirized,satirizing
satisfied,satisfying
saturated,saturating
sauntered,sauntering
sauteed,sauteing
savaged,savaging
saved,saving
savoured,savouring
sawed,sawing
scalded,scalding
scaled,scaling
scalped,scalping
scampered,scampering
scandalized,scandalizing
scanned,scanning
scanted,scanting
scared,scaring
scarred,scarring
scattered,scattering
scavenged,scavenging
scented,scenting
scheduled,scheduling
schemed,scheming
schooled,schooling
scintillated,scintillating
scoffed,scoffing
scolded,scolding
scooped,scooping
scorched,scorching
scored,scoring
scorned,scorning
scotched,scotching
scoured,scouring
scouted,scouting
scowled,scowling
scrambled,scrambling
scrammed,scramming
scraped,scraping
scrapped,scrapping
scratched,scratching
scrawled,scrawling
screamed,screaming
screeched,screeching
screened,screening
screwed,screwing
scribbled,scribbling
scrimped,scrimping
scrounged,scrounging
scrubbed,scrubbing
scrunched,scrunching
scrutinized,scrutinizing
scuffled,scuffling
sculpted,sculpting
sculptured,sculpturing
scurried,scurrying
scuttled,scuttling
sealed,sealing
searched,searching
seared,searing
seated,seating
seceded,seceding
seconded,seconding
secreted,secreting
secularized,secularizing
secured,securing
sedated,sedating
seduced,seducing
seeded,seeding
seemed,seeming
seen,seeing
seeped,seeping
seesawed,seesawing
seethed,seething
segregated,segregating
seized,seizing
selected,selecting
sensed,sensing
sensitized,sensitizing
sent,sending
sentenced,sentencing
sentimentalized,sentimentalizing
separated,separating
sequestered,sequestering
serenaded,serenading
serialized,serializing
sermonized,sermonizing
served,serving
serviced,servicing
set,setting
settled,settling
severed,severing
sewed,sewing
shacked,shacking
shackled,shackling
shaded,shading
shadowed,shadowing
shaken,shaking
shamed,shaming
shampooed,shampooing
shaped,shaping
shared,sharing
sharpened,sharpening
shattered,shattering
shaved,shaving
sheared,shearing
sheathed,sheathing
shed,shedding
shelled,shelling
sheltered,sheltering
shelved,shelving
shepherded,shepherding
shied,shying
shielded,shielding
shifted,shifting
shillyshallied,shillyshallying
shimmered,shimmering
shined,shining
shingled,shingling
shipped,shipping
shirked,shirking
shitted,shitting
shivered,shivering
shocked,shocking
shone,shining
shooed,shooing
shoplifted,shoplifting
shopped,shopping
shored,shoring
short-changed,short-changing
short-circuited,short-circuiting
shorted,shorting
shortened,shortening
shortlisted,shortlisting
shouldered,shouldering
shouted,shouting
shoved,shoving
shovelled,shovelling
showered,showering
shown,showing
shredded,shredding
shrieked,shrieking
shrimped,shrimping
shriveled,shriveling
shrouded,shrouding
shrugged,shrugging
shrunk,shrinking
shrunken,shrinking
shucked,shucking
shuddered,shuddering
shuffled,shuffling
shunned,shunning
shunted,shunting
shushed,shushing
shut,shutting
shuttered,shuttering
sicked,sicking
sickened,sickening
sided,siding
sidelined,sidelining
sidestepped,sidestepping
sidetracked,sidetracking
sidled,sidling
sieved,sieving
sifted,sifting
sighed,sighing
sighted,sighting
signaled,signaling
signalled,signalling
signed,signing
signified,signifying
signposted,signposting
silenced,silencing
silhouetted,silhouetting
simmered,simmering
simpered,simpering
simplified,simplifying
simulated,simulating
singed,singeing
singled,singling
sinned,sinning
siphoned,siphoning
sipped,sipping
sired,siring
sized,sizing
sizzled,sizzling
skedaddled,skedaddling
sketched,sketching
skewered,skewering
skidded,skidding
skimmed,skimming
skimped,skimping
skinned,skinning
skipped,skipping
skippered,skippering
skirmished,skirmishing
skirted,skirting
skulked,skulking
skylarked,skylarking
skyrocketed,skyrocketing
slacked,slacking
slackened,slackening
slain,slaying
slaked,slaking
slammed,slamming
slandered,slandering
slanted,slanting
slapped,slapping
slashed,slashing
slated,slating
slaughtered,slaughtering
slaved,slaving
slavered,slavering
sleeted,sleeting
slept,sleeping
sliced,slicing
slid,sliding
slighted,slighting
slimmed,slimming
slinked,slinking
slipped,slipping
slithered,slithering
slobbered,slobbering
slogged,slogging
sloped,sloping
sloshed,sloshing
slotted,slotting
slouched,slouching
slowed,slowing
slugged,slugging
slumbered,slumbering
slummed,slumming
slumped,slumping
slung,slinging
slurred,slurring
smacked,smacking
smarted,smarting
smartened,smartening
smashed,smashing
smeared,smearing
smelled,smelling
smelted,smelting
smiled,smiling
smirked,smirking
smitten,smiting
smoked,smoking
smoothed,smoothing
smothered,smothering
smouldered,smouldering
smudged,smudging
smuggled,smuggling
snagged,snagging
snaked,snaking
snapped,snapping
snared,snaring
snarled,snarling
snatched,snatching
sneaked,sneaking
sneered,sneering
sneezed,sneezing
snickered,snickering
sniffed,sniffing
sniffled,sniffling
sniggered,sniggering
sniped,sniping
snipped,snipping
snitched,snitching
snivelled,snivelling
snooped,snooping
snoozed,snoozing
snored,snoring
snorted,snorting
snowballed,snowballing
snowed,snowing
snubbed,snubbing
snuffed,snuffing
snuffled,snuffling
snuggled,snuggling
soaked,soaking
soared,soaring
sobbed,sobbing
sobered,sobering
socialized,socializing
socked,socking
soft-pedalled,soft-pedalling
softened,softening
soiled,soiling
sojourned,sojourning
sold,selling
soldered,soldering
soldiered,soldiering
solicited,soliciting
solidified,solidifying
soliloquized,soliloquizing
solved,solving
somersaulted,somersaulting
soothed,soothing
sopped,sopping
sorted,sorting
sought,seeking
sounded,sounding
soundproofed,soundproofing
souped,souping
soured,souring
soused,sousing
sowed,sowing
spaced,spacing
spaded,spading
spanked,spanking
spanned,spanning
spared,sparing
sparked,sparking
sparkled,sparkling
sparred,sparring
spat,spitting
spattered,spattering
spawned,spawning
spayed,spaying
speared,spearing
spearheaded,spearheading
specialized,specializing
specified,specifying
speculated,speculating
sped,speeding
speechified,speechifying
speeded,speeding
spelled,spelling
spelt,spelling
spent,spending
spewed,spewing
spiced,spicing
spied,spying
spiked,spiking
spilled,spilling
spin-dried,spin-drying
spiralled,spiralling
spirited,spiriting
spited,spiting
splashed,splashing
splayed,splaying
spliced,splicing
splintered,splintering
split,splitting
splurged,splurging
spluttered,spluttering
spoiled,spoiling
spoken,speaking
sponged,sponging
sponsored,sponsoring
spoonfed,spoonfeeding
spotlighted,spotlighting
spotted,spotting
spouted,spouting
sprained,spraining
sprawled,sprawling
sprayed,spraying
spread,spreading
spring-cleaned,spring-cleaning
sprinkled,sprinkling
sprinted,sprinting
sprouted,sprouting
spruced,sprucing
sprung,springing
spun,spinning
spurned,spurning
spurred,spurring
spurted,spurting
sputtered,sputtering
squabbled,squabbling
squalled,squalling
squandered,squandering
squared,squaring
squashed,squashing
squatted,squatting
squawked,squawking
squeaked,squeaking
squealed,squealing
squeezed,squeezing
squelched,squelching
squinted,squinting
squired,squiring
squirmed,squirming
squirted,squirting
stabbed,stabbing
stabilized,stabilizing
stacked,stacking
staffed,staffing
staged,staging
staggered,staggering
stagnated,stagnating
stained,staining
staked,staking
stalemated,stalemating
stalked,stalking
stalled,stalling
stammered,stammering
stamped,stamping
stampeded,stampeding
standardized,standardizing
stapled,stapling
starched,starching
stared,staring
starred,starring
started,starting
startled,startling
starved,starving
stashed,stashing
stated,stating
stationed,stationing
staunched,staunching
staved,staving
stayed,staying
steadied,steadying
steamed,steaming
steamrollered,steamrollering
steeled,steeling
steeped,steeping
steepened,steepening
steered,steering
stemmed,stemming
stepped,stepping
stereotyped,stereotyping
sterilized,sterilizing
stewed,stewing
stiffed,stiffing
stiffened,stiffening
stifled,stifling
stigmatized,stigmatizing
stilled,stilling
stimulated,stimulating
stinted,stinting
stipulated,stipulating
stirred,stirring
stitched,stitching
stockaded,stockading
stocked,stocking
stoked,stoking
stolen,stealing
stomached,stomaching
stoned,stoning
stonewalled,stonewalling
stood,standing
stooped,stooping
stored,storing
stormed,storming
stowed,stowing
straddled,straddling
strafed,strafing
straggled,straggling
straightened,straightening
strained,straining
straitened,straitening
strangled,strangling
strapped,strapping
stratified,stratifying
strayed,straying
streaked,streaking
streamed,streaming
streamlined,streamlining
strengthened,strengthening
stressed,stressing
stretched,stretching
strewed,strewing
stricken,striking
stringed,stringing
stripped,stripping
strived,striving
stroked,stroking
strolled,strolling
struck,striking
structured,structuring
struggled,struggling
strummed,strumming
strung,stringing
strutted,strutting
stubbed,stubbing
stuccoed,stuccoing
stuck,sticking
studded,studding
stuffed,stuffing
stumbled,stumbling
stumped,stumping
stung,stinging
stunned,stunning
stunted,stunting
stuttered,stuttering
styled,styling
stylized,stylizing
stymied,stymieing
subbed,subbing
subcontracted,subcontracting
subdivided,subdividing
subdued,subduing
subedited,subediting
subjected,subjecting
subjugated,subjugating
subleased,subleasing
sublet,subletting
sublimated,sublimating
submerged,submerging
submitted,submitting
subordinated,subordinating
subpoenaed,subpoenaing
subscribed,subscribing
subserved,subserving
subsided,subsiding
subsidized,subsidizing
subsisted,subsisting
substantiated,substantiating
substituted,substituting
subsumed,subsuming
subtended,subtending
subtracted,subtracting
subverted,subverting
succeeded,succeeding
succoured,succouring
succumbed,succumbing
sucked,sucking
suckled,suckling
sued,suing
suffered,suffering
sufficed,sufficing
suffocated,suffocating
suffused,suffusing
suggested,suggesting
suited,suiting
sulked,sulking
sullied,sullying
summarized,summarizing
summed,summing
summered,summering
summoned,summoning
sunbathed,sunbathing
sundered,sundering
sung,singing
sunk,sinking
sunken,sinking
sunned,sunning
superimposed,superimposing
superseded,superseding
supervened,supervening
supervised,supervising
supped,supping
supplanted,supplanting
supplemented,supplementing
supplicated,supplicating
supplied,supplying
supported,supporting
supposed,supposing
suppressed,suppressing
surfaced,surfacing
surged,surging
surmised,surmising
surmounted,surmounting
surpassed,surpassing
surprised,surprising
surrendered,surrendering
surrounded,surrounding
surveyed,surveying
suspected,suspecting
suspended,suspending
sussed,sussing
sustained,sustaining
swaggered,swaggering
swallowed,swallowing
swamped,swamping
swapped,swapping
swarmed,swarming
swathed,swathing
swatted,swatting
swayed,swaying
sweated,sweating
sweetened,sweetening
swelled,swelling
sweltered,sweltering
swept,sweeping
swerved,swerving
swigged,swigging
swindled,swindling
swiped,swiping
swirled,swirling
swished,swishing
switched,switching
swivelled,swivelling
swooned,swooning
swooped,swooping
sworn,swearing
swung,swinging
symbolized,symbolizing
sympathized,sympathizing
synchronized,synchronizing
syncopated,syncopating
syndicated,syndicating
synthesized,synthesizing
syphoned,syphoning
systematized,systematizing
tabled,tabling
tabulated,tabulating
tacked,tacking
tackled,tackling
tagged,tagging
tailed,tailing
tailored,tailoring
tainted,tainting
taken,taking
talked,talking
tallied,tallying
tamed,taming
tamped,tamping
tampered,tampering
tangled,tangling
tanned,tanning
tantalized,tantalizing
taped,taping
tapered,tapering
tapped,tapping
targeted,targeting
tarnished,tarnishing
tarred,tarring
tarried,tarrying
tasted,tasting
tattled,tattling
tattooed,tattooing
taught,teaching
taunted,taunting
taxed,taxing
taxied,taxiing
teamed,teaming
teased,teasing
teemed,teeming
teetered,teetering
teethed,teething
telecast,telecasting
telegraphed,telegraphing
telephoned,telephoning
telescoped,telescoping
televised,televising
temporized,temporizing
tempted,tempting
tended,tending
tendered,tendering
tensed,tensing
termed,terming
terminated,terminating
terraced,terracing
terrified,terrifying
terrorized,terrorizing
test-driven,test-driving
tested,testing
testified,testifying
tethered,tethering
thanked,thanking
thatched,thatching
thawed,thawing
theorized,theorizing
thickened,thickening
thinned,thinning
thirsted,thirsting
thrashed,thrashing
threaded,threading
threatened,threatening
thrilled,thrilling
thrived,thriving
throbbed,throbbing
thronged,thronging
throttled,throttling
thrown,throwing
thrust,thrusting
thudded,thudding
thumbed,thumbing
thumped,thumping
thundered,thundering
thwarted,thwarting
ticked,ticking
ticketed,ticketing
tickled,tickling
tided,tiding
tidied,tidying
tied,tying
tightened,tightening
tiled,tiling
tilled,tilling
tilted,tilting
timed,timing
tingled,tingling
tinkered,tinkering
tinkled,tinkling
tinted,tinting
tipped,tipping
tiptoed,tiptoeing
tired,tiring
titillated,titillating
tittered,tittering
tittle-tattled,tittle-tattling
toadied,toadying
toasted,toasting
tobogganed,tobogganing
toddled,toddling
toed,toeing
toiled,toiling
tolerated,tolerating
tolled,tolling
toned,toning
tonned,tonning
tooted,tooting
tootled,tootling
topped,topping
toppled,toppling
tormented,tormenting
torn,tearing
torpedoed,torpedoing
tortured,torturing
tossed,tossing
totaled,totaling
toted,toting
tottered,tottering
touch-typed,touch-typing
touched,touching
toughened,toughening
toured,touring
tousled,tousling
touted,touting
towed,towing
towelled,towelling
towered,towering
toyed,toying
traced,tracing
tracked,tracking
traded,trading
trailed,trailing
trained,training
traipsed,traipsing
tramped,tramping
trampled,trampling
tranquilized,tranquilizing
tranquillized,tranquillizing
transacted,transacting
transcended,transcending
transcribed,transcribing
transferred,transferring
transfixed,transfixing
transformed,transforming
transfused,transfusing
transgressed,transgressing
translated,translating
transmitted,transmitting
transmuted,transmuting
transpired,transpiring
transplanted,transplanting
transported,transporting
transposed,transposing
transshipped,transshipping
trapped,trapping
traveled,traveling
travelled,travelling
traversed,traversing
treaded,treading
treasured,treasuring
treated,treating
trebled,trebling
trekked,trekking
trembled,trembling
trespassed,trespassing
tricked,tricking
trickled,trickling
trifled,trifling
triggered,triggering
trimmed,trimming
tripled,tripling
tripped,tripping
triumphed,triumphing
trivialized,trivializing
trotted,trotting
troubled,troubling
trounced,trouncing
trudged,trudging
trumped,trumping
trumpeted,trumpeting
truncated,truncating
trundled,trundling
trusted,trusting
tucked,tucking
tugged,tugging
tumbled,tumbling
tuned,tuning
tunnelled,tunnelling
turned,turning
tussled,tussling
tutored,tutoring
tweaked,tweaking
tweeted,tweeting
twiddled,twiddling
twinkled,twinkling
twirled,twirling
twisted,twisting
twitched,twitching
twittered,twittering
typecast,typecasting
typed,typing
typified,typifying
tyrannized,tyrannizing
ululated,ululating
umpired,umpiring
unbalanced,unbalancing
unbanned,unbanning
unbended,unbending
unblocked,unblocking
unbolted,unbolting
unbuckled,unbuckling
unburdened,unburdening
unbuttoned,unbuttoning
uncorked,uncorking
uncoupled,uncoupling
uncovered,uncovering
uncrossed,uncrossing
uncurled,uncurling
underacted,underacting
underbidden,underbidding
undercharged,undercharging
undercut,undercutting
underestimated,underestimating
underexposed,underexposing
undergone,undergoing
underlay,underlining
underlined,underlying
undermined,undermining
underpaid,underpaying
underpinned,underpinning
underquoted,underquoting
underrated,underrating
underscored,underscoring
undershot,undershooting
undersigned,undersigning
undersold,underselling
underspent,underspending
understated,understating
understocked,understocking
understood,understanding
understudied,understudying
undertaken,undertaking
undervalued,undervaluing
underwritten,underwriteing
underwritten,underwriting
undone,undoing
undressed,undressing
undulated,undulating
unearthed,unearthing
unfastened,unfastening
unfettered,unfettering
unfolded,unfolding
unfrocked,unfrocking
unfurled,unfurling
unhanded,unhanding
unhinged,unhinging
unhitched,unhitching
unhooked,unhooking
unified,unifying
unlearned,unlearning
unleashed,unleashing
unloaded,unloading
unlocked,unlocking
unloosed,unloosing
unmasked,unmasking
unnerved,unnerving
unpacked,unpacking
unplugged,unplugging
unraveled,unraveling
unrolled,unrolling
unsaddled,unsaddling
unscrambled,unscrambling
unscrewed,unscrewing
unsettled,unsettling
unsheathed,unsheathing
untied,untying
unveiled,unveiling
unwound,unwinding
unwrapped,unwrapping
unzipped,unzipping
upbraided,upbraiding
updated,updating
upgraded,upgrading
upheld,upholding
upholstered,upholstering
uplifted,uplifting
uprooted,uprooting
upset,upsetting
upstaged,upstaging
urbanized,urbanizing
urged,urging
urinated,urinating
ushered,ushering
usurped,usurping
utilized,utilizing
uttered,uttering
vacated,vacating
vacationed,vacationing
vaccinated,vaccinating
vacillated,vacillating
valeted,valeting
validated,validating
valued,valuing
vamoosed,vamoosing
vamped,vamping
vanished,vanishing
vanquished,vanquishing
vaporized,vaporizing
varied,varying
varnished,varnishing
vaulted,vaulting
veered,veering
vegetated,vegetating
veiled,veiling
vended,vending
venerated,venerating
vented,venting
ventilated,ventilating
ventured,venturing
verbalized,verbalizing
verged,verging
verified,verifying
vested,vesting
vetoed,vetoing
vetted,vetting
vexed,vexing
vibrated,vibrating
victimized,victimizing
videotaped,videotaping
vied,vying
viewed,viewing
vilified,vilifying
vindicated,vindicating
violated,violating
visaed,visaing
visited,visiting
visualized,visualizing
vitiated,vitiating
vivisected,vivisecting
vocalized,vocalizing
voiced,voicing
voided,voiding
volleyed,volleying
volunteered,volunteering
vomited,vomiting
voted,voting
vouched,vouching
vouchsafed,vouchsafing
vowed,vowing
voyaged,voyaging
vulgarized,vulgarizing
wadded,wadding
waddled,waddling
waded,wading
waffled,waffling
wafted,wafting
waged,waging
wagged,wagging
wailed,wailing
waited,waiting
waived,waiving
waken,waking
wakened,wakening
walled,walling
walloped,walloping
wallowed,wallowing
waltzed,waltzing
wandered,wandering
waned,waning
wangled,wangling
wanked,wanking
wanted,wanting
warbled,warbling
warded,warding
warned,warning
warped,warping
warranted,warranting
washed,washing
wasted,wasting
watched,watching
watered,watering
waterproofed,waterproofing
waved,waving
wavered,wavering
waxed,waxing
waylaid,waylaying
weakened,weakening
weaned,weaning
weathered,weathering
weaved,weaving
wedged,wedging
weeded,weeding
weighed,weighing
weighted,weighting
welcomed,welcoming
welded,welding
welshed,welshing
weltered,weltering
wended,wending
wept,weeping
westernized,westernizing
wetted,wetting
whacked,whacking
wheedled,wheedling
wheeled,wheeling
wheezed,wheezing
whetted,whetting
whiled,whiling
whimpered,whimpering
whined,whining
whinnied,whinnying
whipped,whipping
whirled,whirling
whirred,whirring
whispered,whispering
whistled,whistling
whitened,whitening
whitewashed,whitewashing
whittled,whittling
whooped,whooping
widened,widening
wielded,wielding
wiggled,wiggling
wilted,wilting
winced,wincing
winged,winging
winked,winking
winnowed,winnowing
wiped,wiping
wired,wiring
wiretapped,wiretapping
wisecracked,wisecracking
wished,wishing
withdrawn,withdrawing
withered,withering
withheld,withholding
withstood,withstanding
witnessed,witnessing
wobbled,wobbling
woken,waking
wolfed,wolfing
womanized,womanizing
won,winning
wondered,wondering
wooed,wooing
worded,wording
worked,working
wormed,worming
worn,wearing
worried,worrying
worsened,worsening
worshipped,worshipping
wound,winding
wounded,wounding
wrangled,wrangling
wrapped,wrapping
wreaked,wreaking
wrecked,wrecking
wrenched,wrenching
wrested,wresting
wrestled,wrestling
wriggled,wriggling
wrinkled,wrinkling
writhed,writhing
written,writing
wronged,wronging
wrung,wringing
yachted,yachting
yammered,yammering
yanked,yanking
yapped,yapping
yawned,yawning
yearned,yearning
yelled,yelling
yelped,yelping
yenned,yenning
yielded,yielding
yodelled,yodelling
zapped,zapping
zeroed,zeroing
zigzagged,zigzagging
zipped,zipping
zoned,zoning
zoomed,zooming
