reduced,reducing
liquidized,liquidizing
listed,listing
loaned,loaning
loathed,loathing
lobbed,lobbing
localized,localizing
lofted,lofting
looted,looting
lubricated,lubricating
lugged,lugging
lulled,lulling
lumped,lumping
lured,luring
lynched,lynching
maddened,maddening
magnetized,magnetizing
magnified,magnifying
maimed,maiming
maligned,maligning
maltreated,maltreating
manned,manning
manacled,manacling
mandated,mandating
mangled,mangling
manhandled,manhandling
manicured,manicuring
manifested,manifesting
manipulated,manipulating
manufactured,manufacturing
marred,marring
marketed,marketing
marooned,marooning
marshalled,marshalling
martyred,martyring
mashed,mashing
masked,masking
mass-produced,mass-producing
massaged,massaging
mastered,mastering
masterminded,masterminding
masticated,masticating
mauled,mauling
maximized,maximizing
measured,measuring
mechanized,mechanizing
medicated,medicating
memorialized,memorializing
memorized,memorizing
menaced,menacing
merited,meriting
mesmerized,mesmerizing
microfilmed,microfilming
milked,milking
mimeographed,mimeographing
mimicked,mimicking
minced,mincing
miniaturized,miniaturizing
minimized,minimizing
minted,minting
mired,miring
mirrored,mirroring
misapplied,misapplying
misapprehended,misapprehending
misappropriated,misappropriating
miscast,miscastting
misconceived,misconceiving
misconstrued,misconstruing
misdated,misdating
misdirected,misdirecting
misgoverned,misgoverning
misguided,misguiding
mishandled,mishandling
misheard,mishearing
misinformed,misinforming
misinterpreted,misinterpreting
mislaid,mislaying
misled,misleading
mismanaged,mismanaging
misnamed,misnaming
misplaced,misplacing
mispronounced,mispronouncing
misquoted,misquoting
misread,misreading
misrepresented,misrepresenting
misspelled,misspelling
misspent,misspending
misstated,misstating
mistaken,mistaking
mistranslated,mistranslating
mistreated,mistreating
mistrusted,mistrusting
misused,misusing
mitigated,mitigating
mobbed,mobbing
mocked,mocking
modeled,modeling
modified,modifying
modulated,modulating
molded,molding
molested,molesting
mollified,mollifying
mollycoddled,mollycoddling
monitored,monitoring
monopolized,monopolizing
moored,mooring
mortared,mortaring
mortgaged,mortgaging
mortified,mortifying
mothproofed,mothproofing
motorized,motorizing
muddied,muddying
muffed,muffing
muffled,muffling
mugged,mugging
mulched,mulching
murdered,murdering
mustered,mustering
muted,mutilating
mutilated,muting
muzzled,muzzling
mystified,mystifying
nabbed,nabbing
nagged,nagging
narrated,narrating
nationalized,nationalizing
naturalized,naturalizing
needled,needling
negated,negating
netted,netting
nettled,nettling
neutered,neutering
neutralized,neutralizing
nicked,nicking
nicknamed,nicknaming
normalized,normalizing
nourished,nourishing
nudged,nudging
nullified,nullifying
numbed,numbering
numbered,numbing
nursed,nursing
nurtured,nurturing
obfuscated,obfuscating
obligated,obligating
obliterated,obliterating
obscured,obscuring
obstructed,obstructing
obtained,obtaining
obviated,obviating
occasioned,occasioning
occupied,occupying
offended,offending
offset,offsetting
oiled,oiling
okayed,okaying
omened,omening
omitted,omitting
oppressed,oppressing
orchestrated,orchestrating
ordained,ordaining
organized,organizing
oriented,orienting
orientated,orientating
ornamented,ornamenting
ostracized,ostracizing
ousted,ousting
outbalanced,outbalancing
outbid,outbiding
outclassed,outclassing
outdistanced,outdistancing
outdone,outdoing
outfought,outfighting
outfitted,outfitting
outflanked,outflanking
outfoxed,outfoxing
outgrown,outgrowing
outlasted,outlasting
outlawed,outlawing
outlined,outlining
outlived,outliving
outmanoeuvred,outmanoeuvring
outnumbered,outnumbering
outplayed,outplaying
outraged,outraging
outranked,outranking
outridden,outriding
outrun,outrunning
outshone,outshining
outsmarted,outsmarting
outstayed,outstaying
outvoted,outvoting
outweighed,outweighing
outwitted,outwitting
overawed,overawing
overbore,overbearing
overburdened,overburdening
overcooked,overcooking
overcome,overcoming
overcrowded,overcrowding
overdone,overdoing
overemphasized,overemphasizing
overestimated,overestimating
overexerted,overexerting
overexposed,overexposing
overhauled,overhauling
overheard,overhearing
overleaped,overleaping
overloaded,overloading
overlooked,overlooking
overpaid,overpaying
overplayed,overplaying
overpowered,overpowering
overpraised,overpraising
overprinted,overprinting
overrated,overrating
overriden,overriding
overruled,overruling
overrun,overrunning
overseen,overseeing
overshadowed,overshadowing
overshot,overshooting
oversimplified,oversimplifying
overstated,overstating
overstayed,overstaying
overstepped,overstepping
overstocked,overstocking
overstrained,overstraining
overtaken,overtaking
overtaxed,overtaxing
overvalued,overvaluing
overwhelmed,overwhelming
owned,owning
oxygenated,oxygenating
pacified,pacifying
packaged,packaging
padded,padding
padlocked,padlocking
paged,paging
pained,paining
pampered,pampering
papered,papering
parallelled,parallelling
paralysed,paralysing
paralyzed,paralyzing
paraphrased,paraphrasing
parched,parching
pardoned,pardoning
pared,paring
parodied,parodying
paroled,paroling
parried,parrying
parsed,parsing
partitioned,partitioning
partnered,partnering
pasted,pasteurizing
pasteurized,pasting
patted,patting
patented,patenting
patrolled,patrolling
patronized,patronizing
patterned,patterning
pauperized,pauperizing
pawed,pawing
pawned,pawning
pegged,pegging
pelted,pelting
penalized,penalizing
pencilled,pencilling
peppered,peppering
perfected,perfecting
perforated,perforating
perfumed,perfuming
perfused,perfusing
perjured,perjuring
permed,perming
permeated,permeating
permuted,permuting
perpetrated,perpetrating
perpetuated,perpetuating
perplexed,perplexing
persecuted,persecuting
personalized,personalizing
personified,personifying
perturbed,perturbing
perused,perusing
pervaded,pervading
perverted,perverting
pestered,pestering
petted,petting
photocopied,photocopying
photographed,photographing
photosensitized,photosensitizing
photostatted,photostatting
phrased,phrasing
pickled,pickling
pictured,picturing
pierced,piercing
pigeonholed,pigeonholing
pilfered,pilfering
piloted,piloting
pinched,pinching
pinpointed,pinpointing
piped,piping
pipped,pipping
piqued,piquing
pirated,pirating
pitted,pitting
pitchforked,pitchforking
pitied,pitying
placated,placating
placed,placing
plagiarized,plagiarizing
plagued,plaguing
planted,planting
plastered,plastering
pleased,pleasing
plied,plying
plumbed,plumbing
pocketed,pocketing
poisoned,poisoning
polarized,polarizing
policed,policing
polished,polishing
politicized,politicizing
pollinated,pollinating
polluted,polluting
pondered,pondering
pooh-poohed,pooh-poohing
pooled,pooling
popularized,popularizing
populated,populating
ported,porting
portended,portending
positioned,positioning
possessed,possessing
posted,posting
postdated,postdating
postmarked,postmarking
postponed,postponing
powdered,powdering
praised,praising
pre-empted,pre-empting
prearranged,prearranging
preceded,preceding
precipitated,precipitating
precluded,precluding
preconceived,preconceiving
predestined,predestining
predetermined,predetermining
predicated,predicating
predisposed,predisposing
preempted,preempting
preened,preening
prefabricated,prefabricating
prefaced,prefacing
prefigured,prefiguring
preheated,preheating
prejudged,prejudging
prejudiced,prejudicing
premeditated,premeditating
premised,premising
preoccupied,preoccupying
preordained,preordaining
prepaid,prepaying
prerecorded,prerecording
presaged,presaging
prescribed,prescribing
presented,presenting
preserved,preserving
presorted,presorting
pressurized,pressurizing
prettified,prettifying
prevented,preventing
priced,pricing
prided,priding
primed,priming
printed,printing
privileged,privileging
prized,prizing
probed,probing
processed,processing
procured,procuring
prodded,prodding
produced,producing
proffered,proffering
profiled,profiling
prognosticated,prognosticating
prohibited,prohibiting
projected,projecting
prolonged,prolonging
promoted,promoting
promulgated,promulgating
pronounced,pronouncing
proofed,proofing
propelled,propelling
proportioned,proportioning
propositioned,propositioning
propounded,propounding
proscribed,proscribing
prosecuted,prosecuting
prostituted,prostituting
prostrated,prostrating
protected,protecting
pruned,pruning
psychoanalysed,psychoanalysing
psychoanalyzed,psychoanalyzing
publicized,publicizing
published,publishing
pulverized,pulverizing
pummelled,pummelling
punctuated,punctuating
punished,punishing
purchased,purchasing
purified,purifying
purloined,purloining
pursed,pursing
pursued,pursuing
purveyed,purveying
quaffed,quaffing
qualified,qualifying
quantified,quantifying
quarantined,quarantining
quartered,quartering
quashed,quashing
quelled,quelling
quenched,quenching
queried,querying
questioned,questioning
quick-frozen,quick-freezing
quilted,quilting
quoted,quoting
raffled,raffling
raided,raiding
railroaded,railroading
rammed,ramming
ramped,ramping
ransacked,ransacking
ransomed,ransoming
raped,raping
ratified,ratifying
rationed,rationing
rationalized,rationalizing
ravaged,ravaging
ravished,ravishing
razed,razing
re-addressed,re-addressing
re-educated,re-educating
re-established,re-establishing
readmitted,readmitting
reaped,reaping
rearranged,rearranging
reassessed,reassessing
reauthorized,reauthorizing
rebuffed,rebuffing
rebuked,rebuking
rebutted,rebutting
recaptured,recapturing
recast,recasting
recessed,recessing
recited,reciting
reclaimed,reclaiming
recommitted,recommitting
recompensed,recompensing
reconciled,reconciling
reconditioned,reconditioning
reconsecrated,reconsecrating
reconsidered,reconsidering
reconstructed,reconstructing
reconvicted,reconvicting
recouped,recouping
recreated,recreating
rectified,rectifying
recycled,recycling
redecorated,redecorating
redeemed,redeeming
redefined,redefining
redeployed,redeploying
redesigned,redesigning
redeveloped,redeveloping
rediscovered,rediscovering
redistributed,redistributing
redone,redoing
redressed,redressing
reduced,reducing
reduplicated,reduplicating
reestablished,reestablishing
refashioned,refashioning
refilled,refilling
refinanced,refinancing
refined,refining
reformulated,reformulating
refracted,refracting
refreshed,refreshing
refrigerated,refrigerating
refunded,refunding
refurbished,refurbishing
refurnished,refurnishing
refuted,refuting
regained,regaining
regaled,regaling
regimented,regimenting
regularized,regularizing
regulated,regulating
regurgitated,regurgitating
rehabilitated,rehabilitating
rehashed,rehashing
rehoused,rehousing
reimbursed,reimbursing
reinforced,reinforcing
reinstated,reinstating
reinsured,reinsuring
reintegrated,reintegrating
reinterpreted,reinterpreting
reinvented,reinventing
reissued,reissuing
rejected,rejecting
rejoined,rejoining
rejuvenated,rejuvenating
relayed,relaying
released,releasing
relegated,relegating
relieved,relieving
relinquished,relinquishing
relished,relishing
relisted,relisting
relived,reliving
remanded,remanding
remedied,remedying
remilitarized,remilitarizing
remodelled,remodelling
remoulded,remoulding
removed,removing
remunerated,remunerating
rent,rending
renewed,renewing
renounced,renouncing
renovated,renovating
reoriented,reorienting
reorientated,reorientating
repackaged,repackaging
repainted,repainting
repatriated,repatriating
repealed,repealing
repelled,repelling
replaced,replacing
replanted,replanting
replayed,replaying
replenished,replenishing
replicated,replicating
reprehended,reprehending
represented,representing
repressed,repressing
reprieved,reprieving
reprimanded,reprimanding
reprinted,reprinting
reproached,reproaching
reproofed,reproofing
reproved,reproving
repudiated,repudiating
repulsed,repulsing
repurchased,repurchasing
reputed,reputing
requisitioned,requisitioning
reread,rereading
rerouted,rerouting
rescheduled,rescheduling
rescinded,rescinding
rescued,rescuing
researched,researching
reseated,reseating
resold,reselling
resembled,resembling
resented,resenting
reserved,reserving
reset,resetting
reshaped,reshaping
reshuffled,reshuffling
resoled,resoling
respected,respecting
restated,restating
restocked,restocking
restored,restoring
restrained,restraining
restricted,restricting
restructured,restructuring
resumed,resuming
resurrected,resurrecting
retained,retaining
retaken,retaking
retarded,retarding
retold,retelling
rethought,rethinking
retouched,retouching
retraced,retracing
retracted,retracting
retransmitted,retransmitting
retrieved,retrieving
revalued,revaluing
revamped,revamping
revered,revering
reviewed,reviewing
reviled,reviling
revised,revising
revisited,revisiting
revitalized,revitalizing
revoked,revoking
revolutionized,revolutionizing
rewarded,rewarding
rewired,rewiring
reworded,rewording
rewritten,rewriting
ribbed,ribbing
riddled,riddling
ridiculed,ridiculing
rifled,rifling
righted,righting
rimmed,rimming
rivaled,rivaling
rivalled,rivalling
riveted,riveting
romanticized,romanticizing
roped,roping
routed,routing
routed,routing
rubber-stamped,rubber-stamping
rubberized,rubberizing
rued,ruing
ruined,ruining
rumpled,rumpling
rusticated,rusticating
sabotaged,sabotaging
sacked,sacking
saddened,saddening
saddled,saddling
safeguarded,safeguarding
salted,salting
salvaged,salvaging
sampled,sampling
sanctified,sanctifying
sanctioned,sanctioning
sanded,sanding
sandblasted,sandblasting
sandpapered,sandpapering
sandwiched,sandwiching
sapped,sapping
satiated,satiating
satirized,satirizing
satisfied,satisfying
saturated,saturating
sauteed,sauteing
savaged,savaging
savoured,savouring
scalded,scalding
scalped,scalping
scandalized,scandalizing
scanted,scanting
scarred,scarring
scented,scenting
scheduled,scheduling
schooled,schooling
scooped,scooping
scorched,scorching
scorned,scorning
scotched,scotching
scoured,scouring
scrapped,scrapping
screened,screening
scrunched,scrunching
scrutinized,scrutinizing
sculpted,sculpting
scuttled,scuttling
seared,searing
seasoned,seasoning
seated,seating
seconded,seconding
secreted,secreting
secularized,secularizing
secured,securing
sedated,sedating
seduced,seducing
seeded,seeding
segregated,segregating
selected,selecting
sensitized,sensitizing
sentimentalized,sentimentalizing
sequestered,sequestering
serenaded,serenading
serialized,serializing
serviced,servicing
shackled,shackling
shadowed,shadowing
shamed,shaming
shampooed,shampooing
shared,sharing
sharpened,sharpening
sheared,shearing
sheathed,sheathing
sheltered,sheltering
shed,shedding
shelved,shelving
shepherded,shepherding
shielded,shielding
shingled,shingling
shirked,shirking
shocked,shocking
shooed,shooing
short-changed,short-changing
shortlisted,shortlisting
shouldered,shouldering
shovelled,shovelling
shredded,shredding
shrouded,shrouding
shucked,shucking
shunned,shunning
shunted,shunting
shuttered,shuttering
sicked,sicking
sickened,sickening
sidelined,sidelining
sidestepped,sidestepping
sidetracked,sidetracking
sieved,sieving
sighted,sighting
signposted,signposting
silenced,silencing
silhouetted,silhouetting
simplified,simplifying
simulated,simulating
siphoned,siphoning
sired,siring
skewered,skewering
skinned,skinning
skippered,skippering
skirted,skirting
slaked,slaking
slandered,slandering
slapped,slapping
slashed,slashing
slated,slating
slaughtered,slaughtering
slain,slaying
sliced,slicing
slighted,slighting
slung,slinging
slotted,slotting
slugged,slugging
slurred,slurring
smelted,smelting
smitten,smiting
smothered,smothering
snagged,snagging
snared,snaring
snubbed,snubbing
socked,socking
soft-pedalled,soft-pedalling
soiled,soiling
soldered,soldering
solicited,soliciting
solved,solving
soothed,soothing
soundproofed,soundproofing
souped,souping
soused,sousing
spaded,spading
spanned,spanning
spanked,spanking
spared,sparing
spayed,spaying
speared,spearing
spearheaded,spearheading
specified,specifying
spewed,spewing
spiked,spiking
spin-dried,spin-drying
spirited,spiriting
spited,spiting
spliced,splicing
sponsored,sponsoring
spoonfed,spoonfeeding
spotted,spotting
spotlighted,spotlighting
sprained,spraining
sprayed,spraying
sprinkled,sprinkling
spurned,spurning
squandered,squandering
squelched,squelching
squired,squiring
stabbed,stabbing
staffed,staffing
staged,staging
stalemated,stalemating
standardized,standardizing
stapled,stapling
starched,starching
startled,startling
stashed,stashing
stationed,stationing
staunched,staunching
stolen,stealing
steamrollered,steamrollering
steeled,steeling
stereotyped,stereotyping
sterilized,sterilizing
stiffed,stiffing
stigmatized,stigmatizing
stilled,stilling
stimulated,stimulating
stitched,stitching
stockaded,stockading
stoked,stoking
stomached,stomaching
stoned,stoning
stored,storing
stowed,stowing
straddled,straddling
strafed,strafing
straitened,straitening
strangled,strangling
strapped,strapping
streamlined,streamlining
strewed,strewing
stroked,stroking
structured,structuring
stubbed,stubbing
stuccoed,stuccoing
studded,studding
stunned,stunning
stunted,stunting
styled,styling
stylized,stylizing
stymied,stymieing
subdued,subduing
subedited,subediting
subjected,subjecting
subjugated,subjugating
sublimated,sublimating
subordinated,subordinating
subpoenaed,subpoenaing
subserved,subserving
subsidized,subsidizing
substantiated,substantiating
subsumed,subsuming
subtended,subtending
subtracted,subtracting
subverted,subverting
succoured,succouring
suckled,suckling
suffused,suffusing
suited,suiting
sullied,sullying
summarized,summarizing
summoned,summoning
sunned,sunning
sundered,sundering
superimposed,superimposing
superseded,superseding
supplanted,supplanting
supplemented,supplementing
supplied,supplying
supported,supporting
suppressed,suppressing
surmounted,surmounting
surpassed,surpassing
surrounded,surrounding
surveyed,surveying
suspended,suspending
sustained,sustaining
swamped,swamping
swathed,swathing
swatted,swatting
sweetened,sweetening
swigged,swigging
swindled,swindling
swiped,swiping
symbolized,symbolizing
syncopated,syncopating
syndicated,syndicating
synthesized,synthesizing
syphoned,syphoning
systematized,systematizing
tabled,tabling
tabulated,tabulating
tailed,tailing
tailored,tailoring
tainted,tainting
tamed,taming
tamped,tamping
tantalized,tantalizing
tarred,tarring
targeted,targeting
tattooed,tattooing
taunted,taunting
taxed,taxing
teased,teasing
telecast,telecasting
telescoped,telescoping
televised,televising
tendered,tendering
terraced,terracing
terrified,terrifying
terrorized,terrorizing
tested,testing
test-driven,test-driving
tethered,tethering
thanked,thanking
thatched,thatching
thirsted,thirsting
threaded,threading
thumbed,thumbing
thwarted,thwarting
ticketed,ticketing
tiled,tiling
tilled,tilling
timed,timing
tinted,tinting
titillated,titillating
toed,toeing
tolerated,tolerating
tormented,tormenting
torpedoed,torpedoing
tortured,torturing
toted,toting
toured,touring
tousled,tousling
touted,touting
towed,towing
towelled,towelling
trampled,trampling
tranquilized,tranquilizing
tranquillized,tranquillizing
transacted,transacting
transcended,transcending
transcribed,transcribing
transfixed,transfixing
transformed,transforming
transfused,transfusing
transmitted,transmitting
transmuted,transmuting
transported,transporting
transposed,transposing
transshipped,transshipping
trapped,trapping
traversed,traversing
treasured,treasuring
tricked,tricking
triggered,triggering
trivialized,trivializing
troubled,troubling
trounced,trouncing
truncated,truncating
tutored,tutoring
tweaked,tweaking
twiddled,twiddling
typecast,typecasting
typified,typifying
tyrannized,tyrannizing
unbalanced,unbalancing
unbanned,unbanning
unblocked,unblocking
unbolted,unbolting
unbuckled,unbuckling
unburdened,unburdening
unbuttoned,unbuttoning
uncorked,uncorking
uncoupled,uncoupling
uncovered,uncovering
uncrossed,uncrossing
undercharged,undercharging
undercut,undercutting
underestimated,underestimating
underexposed,underexposing
undergone,undergoing
underlay,underlining
underlined,underlying
undermined,undermining
underpaid,underpaying
underpinned,underpinning
underquoted,underquoting
underrated,underrating
underscored,underscoring
undersold,underselling
undershot,undershooting
undersigned,undersigning
understated,understating
understocked,understocking
understudied,understudying
undervalued,undervaluing
underwritten,underwriteing
undone,undoing
unearthed,unearthing
unfettered,unfettering
unfrocked,unfrocking
unfurled,unfurling
unhanded,unhanding
unhinged,unhinging
unhooked,unhooking
unlearned,unlearning
unleashed,unleashing
unloosed,unloosing
unmasked,unmasking
unnerved,unnerving
unplugged,unplugging
unsaddled,unsaddling
unscrambled,unscrambling
unsettled,unsettling
unsheathed,unsheathing
unveiled,unveiling
unzipped,unzipping
upbraided,upbraiding
updated,updating
upgraded,upgrading
upheld,upholding
upholstered,upholstering
uplifted,uplifting
uprooted,uprooting
upset,upsetting
upstaged,upstaging
ushered,ushering
usurped,usurping
utilized,utilizing
uttered,uttering
vacated,vacating
vaccinated,vaccinating
valeted,valeting
validated,validating
valued,valuing
vanquished,vanquishing
varnished,varnishing
veiled,veiling
vended,vending
venerated,venerating
vented,venting
ventilated,ventilating
verbalized,verbalizing
vetoed,vetoing
vetted,vetting
vexed,vexing
victimized,victimizing
videotaped,videotaping
vilified,vilifying
vindicated,vindicating
violated,violating
visaed,visaing
visualized,visualizing
vitiated,vitiating
vivisected,vivisecting
vocalized,vocalizing
voiced,voicing
voided,voiding
vouchsafed,vouchsafing
vulgarized,vulgarizing
waged,waging
waived,waiving
walled,walling
walloped,walloping
wangled,wangling
warded,warding
warranted,warranting
wasted,wasting
waterproofed,waterproofing
waylaid,waylaying
weaned,weaning
weathered,weathering
wedged,wedging
weighted,weighting
welcomed,welcoming
wended,wending
westernized,westernizing
wetted,wetting
whacked,whacking
wheedled,wheedling
whetted,whetting
whiled,whiling
whitewashed,whitewashing
wielded,wielding
winged,winging
winnowed,winnowing
withheld,withholding
withstood,withstanding
witnessed,witnessing
wolfed,wolfing
wooed,wooing
worded,wording
wormed,worming
wounded,wounding
wreaked,wreaking
wrecked,wrecking
wrenched,wrenching
wrested,wresting
wronged,wronging
zapped,zapping
zoned,zoning
barged,barging
boozed,boozing
bottomed,bottoming
bowed,bowing
branched,branching
breezed,breezing
brimmed,brimming
bulged,bulging
caved,caving
clammed,clamming
clicked,clicking
clowned,clowning
come,coming
crapped,crapping
crawled,crawling
crept,creeping
cropped,cropping
crouched,crouching
cruised,cruising
cried,crying
danced,dancing
darted,darting
dived,diving
dozed,dozing
drifted,drifting
droned,droning
faded,fading
fizzled,fizzling
flocked,flocking
flowed,flowing
foamed,foaming
forked,forking
ganged,ganging
geared,gearing
goofed,goofing
gushed,gushing
hurried,hurrying
jogged,jogging
jutted,jutting
keeled,keeling
kneeled,kneeling
knelt,kneeling
knuckled,knuckling
lied,lying
limped,limping
lingered,lingering
listened,listening
loomed,looming
lunged,lunging
lurched,lurching
marched,marching
mellowed,mellowing
nestled,nestling
opted,opting
peeked,peeking
peered,peering
perked,perking
petered,petering
pigged,pigging
pined,pining
plonked,plonking
plopped,plopping
puffed,puffing
rotted,rotting
sailed,sailing
sallied,sallying
sat,sitting
screamed,screaming
scurried,scurrying
seeped,seeping
shacked,shacking
shined,shining
shone,shining
shopped,shopping
shriveled,shriveling
shied,shying
slacked,slacking
slaved,slaving
slid,sliding
slimmed,slimming
slinked,slinking
sloped,sloping
slumped,slumping
soared,soaring
soldiered,soldiering
spurted,spurting
squatted,squatting
stood,standing
stepped,stepping
stooped,stooping
streamed,streaming
strolled,strolling
strutted,strutting
stumbled,stumbling
swum,swimming
swooped,swooping
teamed,teaming
tensed,tensing
toddled,toddling
tramped,tramping
trickled,trickling
trudged,trudging
tumbled,tumbling
veered,veering
wafted,wafting
walked,walking
zeroed,zeroing
zoomed,zooming
skidded,skidding
averaged,averaging
backed,backing
bailed,bailing
banged,banging
beamed,beaming
beat,beating
beefed,beefing
bellowed,bellowing
bent,bending
bound,binding
blared,blaring
bobbed,bobbing
bogged,bogging
boiled,boiling
bolted,bolting
bored,boring
bounced,bouncing
bounded,bounding
bowled,bowling
boxed,boxing
broken,breaking
breathed,breathing
brightened,brightening
bruised,bruising
brushed,brushing
bucked,bucking
buckled,buckling
built,building
bummed,bumming
bumped,bumping
bunched,bunching
burned,burning
busted,busting
butted,butting
buttoned,buttoning
buzzed,buzzing
calmed,calming
camped,camping
canceled,canceling
carved,carving
cashed,cashing
cast,casting
caught,catching
changed,changing
chatted,chatting
cheated,cheating
checked,checking
cheered,cheering
chewed,chewing
chilled,chilling
chipped,chipping
choked,choking
chopped,chopping
churned,churning
climbed,climbing
clogged,clogging
closed,closing
clouded,clouding
clumped,clumping
coiled,coiling
combed,combing
connected,connecting
contracted,contracting
cooked,cooking
cooled,cooling
copped,copping
coughed,coughing
counted,counting
cracked,cracking
crammed,cramming
crossed,crossing
crowded,crowding
crumbled,crumbling
crumpled,crumpling
crunched,crunching
curled,curling
dashed,dashing
dealed,deal
dialed,dialing
dug,digging
dined,dining
dragged,dragging
drained,draining
drawn,drawing
dressed,dressing
driven,driving
dropped,dropping
drowned,drowning
drummed,drumming
dried,drying
ducked,ducking
eased,easing
eaten,eating
edged,edging
emptied,emptying
evened,evening
faced,facing
fanned,fanning
farmed,farming
fattened,fattening
fended,fending
fetched,fetching
filed,filing
filled,filling
filtered,filtering
fired,firing
firmed,firming
fished,fishing
flared,flaring
flattened,flattening
flipped,flipping
floated,floating
flooded,flooding
flunked,flunking
flushed,flushing
flown,flying
folded,folding
followed,following
fouled,fouling
freaked,freaking
frozen,freezing
freshened,freshening
fucked,fucking
fueled,fueling
galloped,galloping
gathered,gathering
glazed,glazing
gobbled,gobbling
grinded,grinding
gulped,gulping
hacked,hacking
hammered,hammering
hanged,hanging
hung,hanging
hauled,hauling
headed,heading
healed,healing
heated,heating
herded,herding
hidden,hiding
hiked,hiking
hitched,hitching
hooked,hooking
hopped,hopping
hunted,hunting
ironed,ironing
jammed,jamming
jerked,jerking
joined,joining
jumbled,jumbling
jumped,jumping
knocked,knocking
knotted,knotting
lapped,lapping
lashed,lashing
led,leading
leaked,leaking
leaned,leaning
leaped,leaping
leapt,leaping
leveled,leveling
licked,licking
lit,lighting
lightened,lightening
limbered,limbering
lined,lining
livened,livening
logged,logging
loosened,loosening
lost,losing
married,marrying
matched,matching
melted,melting
messed,messing
missed,missing
mopped,mopping
mouthed,mouthing
moved,moving
mucked,mucking
nodded,nodding
oozed,oozing
opened,opening
packed,packing
paired,pairing
panned,panning
peeled,peeling
piled,piling
pissed,pissing
played,playing
ploughed,ploughing
plowed,plowing
plucked,plucking
plunged,plunging
pointed,pointing
poked,poking
popped,popping
pounded,pounding
poured,pouring
pried,prying
puckered,puckering
pulled,pulling
pumped,pumping
quieted,quieting
raked,raking
reached,reaching
reeled,reeling
rented,renting
revved,reving
ridden,riding
ringed,ringing
rung,ringing
ripped,ripping
rocked,rocking
rolled,rolling
rooted,rooting
rounded,rounding
rubbed,rubbing
run,running
rushed,rushing
scouted,scouting
scraped,scraping
scratched,scratching
screwed,screwing
sealed,sealing
served,serving
settled,settling
sewed,sewing
shaped,shaping
shaved,shaving
shifted,shifting
shipped,shipping
shot,shooting
shorted,shorting
shrugged,shrugging
shushed,shushing
signed,signing
shut,shutting
sketched,sketching
skipped,skipping
slipped,slipping
slowed,slowing
smartened,smartening
smashed,smashing
smoothed,smoothing
snapped,snapping
snatched,snatching
sneaked,sneaking
sniffed,sniffing
snuffed,snuffing
soaked,soaking
sobered,sobering
softened,softening
spaced,spacing
sparked,sparking
sped,speeding
speeded,speeding
spelled,spelling
spelt,spelling
spilled,spilling
spun,spinning
spat,spitting
split,splitting
spread,spreading
sprung,springing
sprouted,sprouting
spruced,sprucing
squared,squaring
squeezed,squeezing
squirted,squirting
staggered,staggering
stamped,stamping
starred,starring
starved,starving
steamed,steaming
stuck,sticking
stiffened,stiffening
stirred,stirring
stocked,stocking
stormed,storming
straightened,straightening
stretched,stretching
struck,striking
stripped,stripping
sucked,sucking
summed,summing
swelled,swelling
swung,swinging
switched,switching
tallied,tallying
tangled,tangling
tapered,tapering
thickened,thickening
thinned,thinning
ticked,ticking
tidied,tidying
tightened,tightening
tipped,tipping
tired,tiring
toned,toning
toppled,toppling
tossed,tossing
trailed,trailing
treaded,treading
trimmed,trimming
tripped,tripping
tucked,tucking
tuned,tuning
twisted,twisting
typed,typing
waken,waking
warmed,warming
weaved,weaving
weeded,weeding
weighed,weighing
whipped,whipping
whooped,whooping
won,winning
wound,winding
wiped,wiping
worked,working
wrapped,wrapping
auctioned,auctioning
bandied,bandying
barred,barring
battened,battening
bitten,biting
blocked,blocking
blotted,blotting
blown,blowing
blurted,blurting
boarded,boarding
booked,booking
booted,booting
bottled,bottling
bundled,bundling
buttered,buttering
caged,caging
carried,carrying
carted,carting
chalked,chalking
chased,chasing
chucked,chucking
cleaned,cleaning
cluttered,cluttering
covered,covering
cranked,cranking
cut,cutting
dammed,damming
dished,dishing
divided,dividing
doled,doling
dredged,dredging
drunk,drinking
dumped,dumping
egged,egging
eked,eking
factored,factoring
faxed,faxing
flinged,flinging
flung,flinging
fixed,fixing
fobbed,fobbing
gouged,gouging
hammed,hamming
hashed,hashing
hoisted,hoisting
jacked,jacking
jazzed,jazzing
jotted,jotting
kicked,kicking
killed,killing
laid,laying
lifted,lifting
linked,linking
loaded,loading
locked,locking
lopped,lopping
mailed,mailing
mapped,mapping
marked,marking
meted,meting
mixed,mixing
mulled,mulling
mussed,mussing
nailed,nailing
palmed,palming
patched,patching
paved,paving
penned,penning
phased,phasing
phoned,phoning
picked,picking
pieced,piecing
pinned,pinning
plugged,plugging
pricked,pricking
propped,propping
punched,punching
pushed,pushing
racked,racking
reined,reining
rigged,rigging
riled,riling
rinsed,rinsing
roughed,roughing
roughened,roughening
saved,saving
scaled,scaling
scared,scaring
shaken,shaking
shored,shoring
singled,singling
sized,sizing
skimmed,skimming
smuggled,smuggling
sopped,sopping
sorted,sorting
spiced,spicing
stacked,stacking
staked,staking
staved,staving
stringed,stringing
strung,stringing
stuffed,stuffing
sussed,sussing
swept,sweeping
tacked,tacking
taped,taping
torn,tearing
thrown,throwing
tided,tiding
tied,tying
topped,topping
totaled,totaling
touched,touching
toughened,toughening
tracked,tracking
wadded,wadding
washed,washing
worn,wearing
wrung,wringing
yanked,yanking
zipped,zipping
